username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018/04/29 03:46;27;64;"#4.No grads are in greater demand than those in #STEM. Lucky for #NCAT22, we’re one of the nation’s elite STEM campuses & the #1 producer of undergrad degrees awarded to #AA in engineering. Here's a video of the #NCAT #GM autonomous car challenge team. #Top10Reasons 2 #ChooseNCATpic.twitter.com/VbBMPOx7X5";;;#4 #STEM #NCAT22 #1 #AA #NCAT #GM #Top10Reasons #ChooseNCATpic;"990421927369027584";https://twitter.com/ncatsuaggies/status/990421927369027584
;2018/04/28 08:00;19;72;"It’s their latest autonomous car being allowed out on a test run ... https://twitter.com/itsmikekay/status/989862756110209025 …";;;;"990123695044743168";https://twitter.com/tiff_tv/status/990123695044743168
;2018/04/24 16:38;8;30;"I had an early chat with @olivercameron about @voyage's plans to open source autonomous car safety... https://arstechnica.com/cars/2018/04/this-startups-ceo-wants-to-open-source-self-driving-car-safety-testing/ …";;@olivercameron @voyage;;"988804395105042432";https://twitter.com/meharris/status/988804395105042432
;2018/04/24 05:47;9;12;"Move over, Elon Musk. You might've promised the world an autonomous car by the end of 2018, but today #LaTrobeUni welcomed the first passengers on our own #driverless vehicle. Give the Autonobus a when you see it zoom by!pic.twitter.com/gAwLxXs8T0";;;#LaTrobeUni #driverless;"988640524885049345";https://twitter.com/latrobe/status/988640524885049345
;2018/04/23 16:03;4;28;"Our FHS students have SUCCESSFULLY programmed an autonomous car!!! Thank you to those who helped get this class up and running @wcsCOda @MattLargen @WCSedu https://twitter.com/wcsfhsrbg/status/988415842466623488 …";;@wcsCOda @MattLargen @WCSedu;;"988433245959311360";https://twitter.com/wcsFHS/status/988433245959311360
;2018/04/22 22:59;20;55;"New instructions and design for the @DIYRobocars Minimum Racer with @openmvcam. Less than $90 for a computer vision-driven autonomous car https://diyrobocars.com/2017/10/01/a-minimum-viable-racer-for-openmv/ … pic.twitter.com/3oAiFRuECc";;@DIYRobocars @openmvcam;;"988175483324907520";https://twitter.com/chr1sa/status/988175483324907520
;2018/04/22 01:27;5;39;"Someone in my neighborhood bought an autonomous car pic.twitter.com/DKMMfhU1Mn";;;;"987850421875097601";https://twitter.com/sparhawk/status/987850421875097601
;2018/04/16 19:25;11;34;"why was the autonomous car in a collision? it used IOTA's hash function";;;;"985947250722574337";https://twitter.com/errorinn/status/985947250722574337
;2018/04/13 15:38;10;30;"First step to create an autonomous car? Find the road! @stephencwelch uses the foundational ALV algorithm at #SDSC18pic.twitter.com/XMqXgfjD5v";;@stephencwelch;#SDSC18pic;"984802910692429824";https://twitter.com/Mayacelium/status/984802910692429824
;2018/04/13 05:11;9;13;"The Role of Artificial Intelligence in Instrument Automation From self-driving cars to Facebook’s artificial intelligence (AI) bots learning to speak their own l ... #Artificial_Intelligence #Autonomous_Car #Bot #Cloud_Computing #Deep_Learning #Voice http://bit.ly/2qtViho ";;;#Artificial_Intelligence #Autonomous_Car #Bot #Cloud_Computing #Deep_Learning #Voice;"984645107566678016";https://twitter.com/SwissCognitive/status/984645107566678016
;2018/04/12 19:42;14;14;"This lidar startup is challenging Velodyne for the autonomous car business http://f-st.co/pWbymJl pic.twitter.com/s71MqzkQRY";;;;"984501921762496512";https://twitter.com/FastCompany/status/984501921762496512
;2018/04/12 13:31;9;13;"In the wake of a fatal autonomous car crash last month, Tesla blames the driver https://on.mktw.net/2EGpZVp pic.twitter.com/dxXYSWk0TY";;;;"984408763586236431";https://twitter.com/MarketWatch/status/984408763586236431
;2018/04/11 21:00;6;27;"From intelligent to autonomous car: Since the invention of the automobile in 1886, we have been setting standards in vehicle safety with our technical innovations. But this was just the beginning. https://www.daimler.com/innovation/case/autonomous/intelligent-drive-2.html … #Daimler #MercedesBenz #autonomousdriving";;;#Daimler #MercedesBenz #autonomousdriving;"984159319179649024";https://twitter.com/Daimler/status/984159319179649024
;2018/04/11 05:16;20;13;"After Uber, Tesla incidents, can artificial intelligence be trusted? In light of recent accidents with autonomous and semi-autonomous vehicles, will people put their trust in ... #Artificial_Intelligence #Autonomous_Car #Deep_Learning #Machine_Learninghttp://bit.ly/2qkCSjM ";;;#Artificial_Intelligence #Autonomous_Car #Deep_Learning #Machine_Learninghttp;"983921668199538688";https://twitter.com/SwissCognitive/status/983921668199538688
;2018/04/10 17:06;4;10;"The ethical side of narrow AI is something for us to think through now, as the technology is evolving. @jaakkosarela discussing the example of trolley problem of autonomous car. @ReaktorNow @futureshelsinki #Reaktor #AI #TrolleyBroblem #AutonomousCar pic.twitter.com/1eo52jjgad";;@jaakkosarela @ReaktorNow @futureshelsinki;#Reaktor #AI #TrolleyBroblem #AutonomousCar;"983738003926474752";https://twitter.com/TuomasSauliala/status/983738003926474752
;2018/04/09 03:39;13;26;"Okanohara, co-founder of Preferred Networks, has commented in this article about the corporate stance of Japanese companies in the autonomous car development. What Uber's Crash Tells Us About Japan's Silent Strategy For Driverless Cars via @forbeshttps://www.forbes.com/sites/tromero/2018/04/03/what-ubers-crash-tells-us-about-japans-silent-strategy-for-driverless-cars/#1e9fe5193e39 …";;@forbeshttps;#1e9fe5193e39;"983172528033095683";https://twitter.com/PreferredNet/status/983172528033095683
